role_key,role_family,seniority_level,base_comp,source,employer_type,region,period
EXEC.exec_director,EXEC,exec_director,214032.83,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,78506.6,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L3,133365.49,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L2,79310.0,public_record,Academic Medical Center,Midwest,2025-11-01
SEC,SEC,L3,129026.89,public_record,Academic Medical Center,Midwest,2025-11-01
SEC,SEC,L3,123096.5,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L2,83813.22,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L2,75705.0,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L4,143580.68,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,122315.03,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,129735.76,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,120125.71,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L3,122754.23,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,98203.37,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,103000.0,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,75000.0,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,108150.0,public_record,Academic Medical Center,Midwest,2025-11-01
PT,PT,L3,90242.4,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L2,93428.16,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,101887.5,public_record,Academic Medical Center,Midwest,2025-11-01
PT,PT,L3,105461.91,public_record,Academic Medical Center,Midwest,2025-11-01
MGR.manager,MGR,manager,127897.92,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L4,139664.95,public_record,Academic Medical Center,Midwest,2025-11-01
EXEC.exec_director,EXEC,exec_director,231427.25,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,93785.58,public_record,Academic Medical Center,Midwest,2025-11-01
MGR.manager,MGR,manager,117761.7,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,124800.0,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L2,66700.0,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,109627.49,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L2,88257.87,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,132915.8,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,112785.0,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,105411.02,public_record,Academic Medical Center,Midwest,2025-11-01
PM,PM,L3,140573.98,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L3,143729.54,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,98000.0,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,142224.39,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,132254.9,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,116053.24,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L2,65405.0,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,110902.23,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,133900.0,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L4,143137.12,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,127986.98,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,115593.76,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L3,127405.63,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L1,71028.59,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L2,61800.0,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,102340.49,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L3,140098.38,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L4,150382.58,public_record,Academic Medical Center,Midwest,2025-11-01
PT,PT,L2,72873.96,public_record,Academic Medical Center,Midwest,2025-11-01
PM,PM,L3,131127.24,public_record,Academic Medical Center,Midwest,2025-11-01
PT,PT,L3,95067.4,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,79953.75,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,115030.07,public_record,Academic Medical Center,Midwest,2025-11-01
PM,PM,L3,125113.2,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,132159.3,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L2,88892.81,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L2,86006.0,public_record,Academic Medical Center,Midwest,2025-11-01
DIR.director,DIR,director,164363.82,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L4,136088.36,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,114577.2,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,116964.61,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,120323.19,public_record,Academic Medical Center,Midwest,2025-11-01
PT,PT,L3,92182.45,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L4,138089.05,public_record,Academic Medical Center,Midwest,2025-11-01
DIR.director,DIR,director,203638.05,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,142072.24,public_record,Academic Medical Center,Midwest,2025-11-01
MGR.manager,MGR,manager,91122.85,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L2,70797.78,public_record,Academic Medical Center,Midwest,2025-11-01
MGR.manager,MGR,manager,112535.48,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L2,91990.0,public_record,Academic Medical Center,Midwest,2025-11-01
MGR.manager,MGR,manager,156259.96,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,105793.87,public_record,Academic Medical Center,Midwest,2025-11-01
DIR.director,DIR,director,180600.0,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,119575.63,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,118900.44,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,100731.31,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L3,134830.29,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,114577.2,public_record,Academic Medical Center,Midwest,2025-11-01
DIR.director,DIR,director,182376.73,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,151370.3,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,102270.0,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L2,82915.0,public_record,Academic Medical Center,Midwest,2025-11-01
MGR.manager,MGR,manager,167393.63,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L4,135815.25,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,132747.62,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,105538.95,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,92818.42,public_record,Academic Medical Center,Midwest,2025-11-01
EXEC.exec_director,EXEC,exec_director,212587.62,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,125186.2,public_record,Academic Medical Center,Midwest,2025-11-01
MGR.sr_manager,MGR,sr_manager,121612.33,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,97541.88,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,144818.94,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L2,105054.78,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,88580.0,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,114692.41,public_record,Academic Medical Center,Midwest,2025-11-01
BI,BI,L3,128137.04,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L3,147120.53,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L3,147894.43,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,103953.78,public_record,Academic Medical Center,Midwest,2025-11-01
SEC,SEC,L2,99326.8,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,118690.19,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L2,111906.17,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L4,129358.46,public_record,Academic Medical Center,Midwest,2025-11-01
EXEC.exec_director,EXEC,exec_director,209550.09,public_record,Academic Medical Center,Midwest,2025-11-01
DIR.director,DIR,director,179156.25,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L2,95383.83,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,96618.02,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,88920.0,public_record,Academic Medical Center,Midwest,2025-11-01
DIR.director,DIR,director,182219.61,public_record,Academic Medical Center,Midwest,2025-11-01
MGR.manager,MGR,manager,133900.0,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,143052.0,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,91795.43,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,109376.26,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,101764.0,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,128026.8,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,108338.52,public_record,Academic Medical Center,Midwest,2025-11-01
BI,BI,L3,120535.33,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,104347.46,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L2,67913.51,public_record,Academic Medical Center,Midwest,2025-11-01
SEC,SEC,L2,103319.08,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L2,98203.37,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L2,73520.46,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,105914.84,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L4,179811.95,public_record,Academic Medical Center,Midwest,2025-11-01
MGR.manager,MGR,manager,131127.24,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L2,80709.47,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,127504.2,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,102463.21,public_record,Academic Medical Center,Midwest,2025-11-01
MGR.sr_manager,MGR,sr_manager,125663.61,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,111394.5,public_record,Academic Medical Center,Midwest,2025-11-01
DIR.director,DIR,director,186251.6,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,124409.31,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L3,116074.13,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L2,95481.0,public_record,Academic Medical Center,Midwest,2025-11-01
PM,PM,L2,101623.61,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,100000.0,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L2,108588.81,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,148230.4,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L1,54999.88,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,115487.63,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,114140.38,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,91454.73,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L2,87000.0,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L4,154515.04,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,102181.5,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,127160.34,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L3,142144.9,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L4,134930.0,public_record,Academic Medical Center,Midwest,2025-11-01
MGR.manager,MGR,manager,128750.0,public_record,Academic Medical Center,Midwest,2025-11-01
SEC,SEC,L3,122909.63,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,90844.87,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,146970.0,public_record,Academic Medical Center,Midwest,2025-11-01
SEC,SEC,L3,117228.74,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L2,90176.5,public_record,Academic Medical Center,Midwest,2025-11-01
MGR.sr_manager,MGR,sr_manager,176749.31,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,124355.0,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L4,134743.82,public_record,Academic Medical Center,Midwest,2025-11-01
DIR.director,DIR,director,164317.32,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L1,60703.03,public_record,Academic Medical Center,Midwest,2025-11-01
DIR.director,DIR,director,149021.09,public_record,Academic Medical Center,Midwest,2025-11-01
SEC,SEC,L2,96959.62,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,128372.14,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,106861.86,public_record,Academic Medical Center,Midwest,2025-11-01
MGR.manager,MGR,manager,170643.99,public_record,Academic Medical Center,Midwest,2025-11-01
SEC,SEC,L3,118991.07,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L2,78791.08,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L3,124834.02,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,114726.45,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,108211.8,public_record,Academic Medical Center,Midwest,2025-11-01
PM,PM,L3,120009.01,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L4,157688.0,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L2,99910.0,public_record,Academic Medical Center,Midwest,2025-11-01
DIR.director,DIR,director,173451.65,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L4,168205.7,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L2,79131.56,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L4,143284.36,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,118524.99,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,122000.0,public_record,Academic Medical Center,Midwest,2025-11-01
SEC,SEC,L3,138337.01,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,98320.08,public_record,Academic Medical Center,Midwest,2025-11-01
EXEC.exec_director,EXEC,exec_director,228750.51,public_record,Academic Medical Center,Midwest,2025-11-01
MGR.manager,MGR,manager,154500.0,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,104223.1,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,99170.77,public_record,Academic Medical Center,Midwest,2025-11-01
SEC,SEC,L2,94719.93,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,100425.0,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L2,88065.0,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,102796.2,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,97061.47,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L1,70845.45,public_record,Academic Medical Center,Midwest,2025-11-01
BI,BI,L3,103867.56,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L1,100486.33,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,113649.95,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L4,144694.22,public_record,Academic Medical Center,Midwest,2025-11-01
EXEC.exec_director,EXEC,exec_director,269451.0,public_record,Academic Medical Center,Midwest,2025-11-01
MGR.manager,MGR,manager,161273.17,public_record,Academic Medical Center,Midwest,2025-11-01
SEC,SEC,L4,169902.0,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,137862.0,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,122152.11,public_record,Academic Medical Center,Midwest,2025-11-01
MGR.sr_manager,MGR,sr_manager,126896.58,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L1,52136.09,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L2,83813.23,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L3,129519.7,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,131840.0,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,132915.8,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L3,115902.82,public_record,Academic Medical Center,Midwest,2025-11-01
PM,PM,L3,143276.05,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,101444.51,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L2,87355.33,public_record,Academic Medical Center,Midwest,2025-11-01
BI,BI,L3,115506.37,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,132121.62,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,103253.8,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,140683.35,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,129121.62,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,100000.0,public_record,Academic Medical Center,Midwest,2025-11-01
SEC,SEC,L1,73999.9,public_record,Academic Medical Center,Midwest,2025-11-01
MGR.manager,MGR,manager,153300.05,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L3,125258.83,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L2,105000.0,public_record,Academic Medical Center,Midwest,2025-11-01
PM,PM,L3,144252.81,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,85280.0,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,96000.0,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L2,96000.0,public_record,Academic Medical Center,Midwest,2025-11-01
PM,PM,L3,126000.0,public_record,Academic Medical Center,Midwest,2025-11-01
MGR.manager,MGR,manager,135000.0,public_record,Academic Medical Center,Midwest,2025-11-01
PM,PM,L3,142737.46,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L3,129733.4,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L2,64890.0,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,92329.2,public_record,Academic Medical Center,Midwest,2025-11-01
MGR.sr_manager,MGR,sr_manager,114954.18,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L2,98957.25,public_record,Academic Medical Center,Midwest,2025-11-01
SEC,SEC,L2,95283.52,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,96820.0,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,121529.19,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,86500.0,public_record,Academic Medical Center,Midwest,2025-11-01
DIR.director,DIR,director,187251.1,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,97602.8,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,112930.08,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L2,108281.26,public_record,Academic Medical Center,Midwest,2025-11-01
PM,PM,L3,120000.0,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,94500.0,public_record,Academic Medical Center,Midwest,2025-11-01
MGR.manager,MGR,manager,140595.0,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,93572.14,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,120021.12,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,114427.26,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L4,132300.0,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L3,126756.53,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L2,88302.2,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,105930.6,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,111884.64,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,109491.14,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,100000.0,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L3,123414.29,public_record,Academic Medical Center,Midwest,2025-11-01
BI,BI,L3,119899.47,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,132135.1,public_record,Academic Medical Center,Midwest,2025-11-01
SEC,SEC,L2,79310.0,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L4,111240.0,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,99893.39,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L2,92000.0,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L3,124151.79,public_record,Academic Medical Center,Midwest,2025-11-01
MGR.sr_manager,MGR,sr_manager,137360.56,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,113300.0,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,114490.39,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,106800.83,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,122719.12,public_record,Academic Medical Center,Midwest,2025-11-01
